
------------------------------------------------------------------------
This is catena4630-test1.ino.
System clock rate is 32.000 MHz
Enter 'help' for a list of commands.
(remember to select 'Line Ending: Newline' at the bottom of the monitor window.)
------------------------------------------------------------------------

FLASH found, put power down
?CatenaBase::GetProvisioningStyle: failing
?CatenaStm32L0::LoRaWAN::begin: Arduino_LoRaWAN:begin failed
?Catena463x::LoRaWAN::begin: Super::begin() failed
cPMS7003::fsmDispatch: enter stInitialSetup
hal begin
setReset: Z
setMode: Z
cPMS7003::fsmDispatch: enter stOff
wake
cPMS7003::fsmDispatch: enter stRequestPowerOn
set5v: 1
setReset: 0

OK
cPMS7003::fsmDispatch: enter stReset
setReset: 1
cPMS7003::fsmDispatch: enter stNormal
setMode: 1
CF1 pm 1.0=3     2.5=4     10=4     ATM pm 1.0=3     2.5=4     10=4     Dust .3=909   .5=247   1.0=17    2.5=3     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=4     ATM pm 1.0=3     2.5=4     10=4     Dust .3=957   .5=262   1.0=15    2.5=3     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=4     ATM pm 1.0=3     2.5=4     10=4     Dust .3=957   .5=262   1.0=15    2.5=3     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=5     ATM pm 1.0=4     2.5=4     10=5     Dust .3=987   .5=263   1.0=13    2.5=3     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=5     ATM pm 1.0=4     2.5=4     10=5     Dust .3=987   .5=263   1.0=13    2.5=3     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=981   .5=266   1.0=15    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=981   .5=266   1.0=15    2.5=2     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=4     ATM pm 1.0=3     2.5=4     10=4     Dust .3=960   .5=257   1.0=16    2.5=2     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=4     ATM pm 1.0=3     2.5=4     10=4     Dust .3=960   .5=257   1.0=16    2.5=2     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=4     ATM pm 1.0=3     2.5=4     10=4     Dust .3=954   .5=255   1.0=9     2.5=1     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=4     ATM pm 1.0=3     2.5=4     10=4     Dust .3=954   .5=255   1.0=9     2.5=1     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=4     ATM pm 1.0=3     2.5=4     10=4     Dust .3=963   .5=262   1.0=9     2.5=1     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=4     ATM pm 1.0=3     2.5=4     10=4     Dust .3=963   .5=262   1.0=9     2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1014  .5=285   1.0=12    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1014  .5=285   1.0=12    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1002  .5=282   1.0=12    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1002  .5=282   1.0=12    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=960   .5=266   1.0=9     2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=960   .5=266   1.0=9     2.5=2     5=0     10=0    
